OBJECTID,school_id,SCHOOL_NAME,SCHOOL_NAME_LABEL,STREET_ADDRESS,ZIP_CODE,PHONE_NUMBER,GRADE_LEVEL,GRADE_ORG,TYPE,TYPE_SPECIFIC,geometry,District,District_PSA
102,7470,BRIDESBURG SCHOOL,BRIDESBURG SCHOOL,2824 JENKS ST,19137,(215) 400-7240,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.06666516407 40.0002731480946),15,151
103,5210,"BROWN, HENRY A. SCHOOL",HENRY A. BROWN SCHOOL,1946 E SERGEANT ST,19125,(215) 400-7490,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.12735288860161 39.9866007655954),26,263
104,8210,"BROWN, JOSEPH H. SCHOOL",JOSEPH H. BROWN SCHOOL,3600 STANWOOD ST,19136,(215) 400-3320,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.02462520159639 40.0434625873175),8,81
105,1230,"BRYANT, WILLIAM C. SCHOOL",WILLIAM C. BRYANT SCHOOL,6001 CEDAR AVE,19143,(215) 400-7910,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.2435629997548 39.9527911813642),18,181
106,5610,BUILDING 21,BUILDING 21,6501 LIMEKILN PIKE,19138,(215) 400-7450,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.15248100036609 40.0536310003),35,353
107,7220,"CARNELL, LAURA H. SCHOOL",LAURA H. CARNELL SCHOOL,1100 DEVEREAUX AVE,19111,(215) 400-3150,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.0841420000545 40.0389569998864),2,21
108,4240,"CASSIDY,LEWIS C ACADEMICS PLUS",LEWIS C. CASSIDY ACADEMICS PLUS SCHOOL,6523 LANSDOWNE AVE,19151,(215) 400-7510,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.25076732432029 39.9752057642657),19,191
109,1250,"CATHARINE, JOSEPH SCHOOL",JOSEPH W. CATHARINE SCHOOL,6600 CHESTER AVE,19142,(215) 400-8150,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.2399109995978 39.927435000246),12,122
110,5490,CAYUGA SCHOOL,CAYUGA SCHOOL,4344 N 5TH ST,19140,(215) 400-3850,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.13505769754219 40.0178140494342),25,251
111,6010,CENTRAL HIGH SCHOOL,CENTRAL HIGH SCHOOL,1700 W OLNEY AVE,19141,(215) 400-3590,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1501075298294 40.0373293977995),35,353
112,2260,"CHILDS, GEORGE W. SCHOOL",GEORGE W. CHILDS SCHOOL,1599 WHARTON ST,19146,(215) 400-7950,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1704930003667 39.9346369997854),17,173
113,7730,"CLEMENTE, ROBERTO MIDDLE SCHOOL",ROBERTO CLEMENTE SCHOOL,122 W ERIE AVE,19140,(215) 400-3930,MIDDLE SCHOOL,8-Jun,1,DISTRICT,POINT (-75.12973599971779 40.0068189997667),25,253
114,1260,"COMEGYS, BENJAMIN B. SCHOOL",BENJAMIN B. COMEGYS SCHOOL,5100 GREENWAY AVE,19143,(215) 400-7860,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.2162889996761 39.9405200004362),12,123
115,8370,"COMLY, WATSON SCHOOL",WATSON COMLY SCHOOL,1001 BYBERRY RD,19116,(215) 400-3010,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.00910879960441 40.120964859453),7,73
116,2370,"MCDANIEL, DELAPLAINE SCHOOL",DELAPLAINE MCDANIEL SCHOOL,1801 S 22ND ST,19145,(215) 400-8220,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.18179300014 39.9295920005011),1,11
117,5350,"MCKINLEY, WILLIAM SCHOOL",WILLIAM MCKINLEY SCHOOL,2101 N ORKNEY ST,19122,(215) 400-7440,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1412486595634 39.9830512778982),26,261
118,4570,"MEADE, GEN. GEORGE G. SCHOOL",GENERAL GEORGE G. MEADE SCHOOL,1600 N 18TH ST,19121,(215) 400-7310,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1647179997526 39.9785869996672),22,223
119,2380,"MEREDITH, WILLIAM M. SCHOOL",WILLIAM M. MEREDITH SCHOOL,725 S 5TH ST,19147,(215) 400-7990,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1509983238488 39.9396621938909),3,31
120,6320,"MIFFLIN, THOMAS SCHOOL",THOMAS MIFFLIN SCHOOL,3624 CONRAD ST,19129,(215) 400-3830,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1916090253599 40.0135299591428),39,391
121,1370,MITCHELL ELEMENTARY SCHOOL,S. WEIR MITCHELL SCHOOL,5500 KINGSESSING AVE,19143,(215) 400-7880,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.2236791685296 39.9368217761112),12,123
122,5370,"MOFFET, JOHN SCHOOL",JOHN MOFFET SCHOOL,127 W OXFORD ST,19122,(215) 400-7390,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.1359125504147 39.9747321049644),26,262
123,8310,"MOORE, J. HAMPTON SCHOOL",J. HAMPTON MOORE SCHOOL,6900 SUMMERDALE AVE,19111,(215) 400-3180,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.07691200042061 40.0491350004486),2,21
124,2390,"MORRIS, ROBERT SCHOOL",ROBERT MORRIS SCHOOL,2600 W THOMPSON ST,19121,(215) 400-7320,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1786600001118 39.9754389995936),22,224
125,7390,"MORRISON, ANDREW J. SCHOOL",ANDREW J. MORRISON SCHOOL,5100 N 3RD ST,19120,(215) 400-3780,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1295056341895 40.0295009877637),35,352
126,1380,"MORTON, THOMAS G. SCHOOL",THOMAS G. MORTON SCHOOL,2501 S 63RD ST,19142,(215) 400-8160,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.2269040230094 39.9236662281504),12,123
127,1190,MOTIVATION HIGH SCHOOL,MOTIVATION HIGH SCHOOL,5900 BALTIMORE AVE,19143,(215) 400-7930,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.2418442201685 39.9445319905671),12,124
128,5680,"MUNOZ-MARIN, HON LUIS SCHOOL",HONORABLE LUIS MUNOZ-MARIN SCHOOL,3300 N 3RD ST,19140,(215) 400-3920,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.13555234034381 40.0011598845783),25,253
129,1580,MYA-MIDDLE YEARS ALTERNATIVE,MIDDLE YEARS ALTERNATIVE SCHOOL,4725 FAIRMOUNT AVE,19139,(215) 400-7720,MIDDLE SCHOOL,8-May,1,DISTRICT,POINT (-75.2158147934414 39.9644359482415),16,162
130,2590,"NEBINGER, GEORGE W. SCHOOL",GEORGE W. NEBINGER SCHOOL,601 CARPENTER ST,19147,(215) 400-8110,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1538300001114 39.9366940002475),3,31
131,8780,PHILADELPHIA VIRTUAL ACADEMY,PHILADELPHIA VIRTUAL ACADEMY,440 N BROAD ST,19130,(215) 400-3110,ELEMENTARY/MIDDLE/HIGH,K-12,1,DISTRICT,POINT (-75.1626440495439 39.961021589463),9,91
132,8410,"POLLOCK, ROBERT B. SCHOOL",ROBERT B. POLLOCK SCHOOL,2875 WELSH RD,19152,(215) 400-3210,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.0275948707761 40.0597631391261),8,81
133,2690,"TAGGART, JOHN H. SCHOOL",JOHN H. TAGGART SCHOOL,400 W PORTER ST,19148,(215) 400-8290,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.15481777134779 39.917126759721),3,32
134,7440,"TAYLOR, BAYARD SCHOOL",BAYARD TAYLOR SCHOOL,3698 N RANDOLPH ST,19140,(215) 400-3880,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.13814042673491 40.0070708869227),25,254
135,5660,THE LINC,THE LINC,122 W ERIE AVE,19140,(215) 400-3940,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.12973599971779 40.0068189997667),25,253
136,5620,THE U SCHOOL,THE U SCHOOL,2000 N 7TH ST,19122,(215) 400-7460,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1462560001963 39.9819829997877),26,261
137,8560,THE WORKSHOP SCHOOL,THE WORKSHOP SCHOOL,221 S HANSON ST,19139,(215) 400-7730,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.2185532904991 39.9553058896276),18,183
138,1130,TILDEN MIDDLE SCHOOL,WILLIAM T. TILDEN SCHOOL,6601 ELMWOOD AVE,19142,(215) 400-8170,MIDDLE SCHOOL,8-May,1,DISTRICT,POINT (-75.232358071053 39.9213914094744),12,123
139,2020,CREATIVE AND PERFORMING ARTS,HIGH SCHOOL FOR CREATIVE AND PERFORMING ARTS SCHOOL,901 S BROAD ST,19147,(215) 400-8140,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1654837502338 39.9394199201992),3,31
140,3308,BELMONT ACADEMY CHARTER SCHOOL,BELMONT ACADEMY CHARTER SCHOOL,907 N 41ST ST,19104,(215) 386-5768,ELEMENTARY SCHOOL,PREK-K,2,CHARTER,POINT (-75.2055509793296 39.9707322443329),16,161
141,3322,PHILADELPHIA ACADEMY CHARTER SCHOOL (ANNEX),PHILADELPHIA ACADEMY CHARTER SCHOOL,1700 TOMLINSON RD,19116,(215) 673-3990,HIGH SCHOOL,12-Sep,2,CHARTER,POINT (-75.01711570126631 40.1048749663119),7,73
142,8400,"FRANK, ANNE SCHOOL",ANNE FRANK SCHOOL,2000 BOWLER ST,19115,(215) 400-3070,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.0282220001821 40.0882879999167),7,72
143,7010,FRANKFORD HIGH SCHOOL,FRANKFORD HIGH SCHOOL,5000 OXFORD AVE,19124,(215) 400-7200,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.085153299292 40.0216292635812),15,151
144,2290,FRANKLIN LEARNING CENTER,FRANKLIN LEARNING CENTER,616 N 15TH ST,19130,(215) 400-7570,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1627529996906 39.9650489996572),9,91
145,2010,"FRANKLIN, BENJAMIN HIGH SCHOOL",BENJAMIN FRANKLIN HIGH SCHOOL,550 N BROAD ST,19130,(215) 400-7600,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1616399993992 39.9635299998603),9,91
146,7280,"FRANKLIN, BENJAMIN SCHOOL",BENJAMIN FRANKLIN SCHOOL,5735 RISING SUN AVE,19120,(215) 400-3760,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1042930779703 40.0424482429562),2,22
147,2160,"FURNESS, HORACE HIGH SCHOOL",FURNESS HIGH SCHOOL,1900 S 3RD ST,19148,(215) 400-8300,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1505849997142 39.9237619995179),3,32
148,4530,"GIDEON, EDWARD SCHOOL",EDWARD GIDEON SCHOOL,2817 W GLENWOOD AVE,19121,(215) 400-7360,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.18076338153369 39.98437491988),22,222
149,2410,GIRARD ACADEMIC MUSIC PROGRAM,GIRARD ACADEMIC MUSIC PROGRAM,2136 W RITNER ST,19145,(215) 400-8230,MIDDLE/HIGH,12-May,1,DISTRICT,POINT (-75.18295641144729 39.9218315761598),1,11
150,2320,"GIRARD, STEPHEN SCHOOL",STEPHEN GIRARD SCHOOL,1800 SNYDER AVE,19145,(215) 400-8180,ELEMENTARY SCHOOL,K-4,1,DISTRICT,POINT (-75.1768104600649 39.9245565246392),1,11
151,6050,"GIRLS, PHILA HIGH SCHOOL FOR",PHILADELPHIA HIGH SCHOOL FOR GIRLS,1400 W OLNEY AVE,19141,(215) 400-3700,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1452251593178 40.0387049134426),35,353
152,4280,"GOMPERS, SAMUEL SCHOOL",SAMUEL GOMPERS SCHOOL,5701 WYNNEFIELD AVE,19131,(215) 400-7250,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.2381330700406 39.9925549087404),19,193
153,3327,LAB SCH OF COMMUNICAT'N & LANG (East Falls Campus),LABORATORY CHARTER SCHOOL OF COMMUNICATION AND LANGUAGES (EAST FALLS),3300 HENRY AVE,19129,(267) 817-4720,MIDDLE SCHOOL,8-Jun,2,CHARTER,POINT (-75.1835417103395 40.0123518482378),39,391
155,8320,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,10800 HAWLEY RD,19154,(215) 400-3122,MIDDLE SCHOOL,8-Jun,1,DISTRICT,POINT (-74.9878482048175 40.0807023824213),8,82
156,3374,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),1821 CECIL B MOORE AVE,19121,(215) 232-4892,MIDDLE SCHOOL,8-Jun,2,CHARTER,POINT (-75.1654592460757 39.9798569328805),22,223
158,3810,ONE BRIGHT RAY-ELMWOOD CAMPUS,ONE BRIGHT RAY - ELMWOOD CAMPUS,6404 ELMWOOD AVE,19142,(215) 488-1177,HIGH SCHOOL,12-Sep,1,CONTRACTED,POINT (-75.22908492970021 39.9225159098781),12,123
159,8190,ONE BRIGHT RAY-FAIRHILL CAMPUS,ONE BRIGHT RAY - FAIRHILL CAMPUS,2820 N 4TH ST,19133,(215) 423-1776,HIGH SCHOOL,12-Sep,1,CONTRACTED,POINT (-75.1380387298821 39.9941802907534),25,253
160,8890,ONE BRIGHT RAY-SIMPSON CAMPUS,ONE BRIGHT RAY - SIMPSON CAMPUS,1142 E ERIE AVE,19124,(215) 744-6000,HIGH SCHOOL,12-Sep,1,CONTRACTED,POINT (-75.10560096025 40.0052800004294),24,241
161,6300,"LOGAN, JAMES SCHOOL",JAMES LOGAN SCHOOL,1700 LINDLEY AVE,19141,(215) 400-3670,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.1520599505873 40.0308530602314),35,353
163,3369,CHRISTOPHER COLUMBUS CHARTER SCHOOL (ANNEX),CHRISTOPHER COLUMBUS CHARTER SCHOOL (SOUTH),1242 S 13TH ST,19147,(215) 389-6000,MIDDLE SCHOOL,8-May,2,CHARTER,POINT (-75.1655741992282 39.9341151329941),3,33
164,1350,"LONGSTRETH, WILLIAM C. SCHOOL",WILLIAM C. LONGSTRETH SCHOOL,5700 WILLOWS AVE,19143,(215) 400-7870,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.2324374017805 39.9407043300914),12,124
173,3331,FRANKLIN TOWNE CHARTER SCHOOL,FRANKLIN TOWNE CHARTER HIGH SCHOOL,5301 TACONY ST,19137,(215) 289-5000,HIGH SCHOOL,12-Sep,2,CHARTER,POINT (-75.0649371621716 40.0078009860373),15,152
174,3403,FRANKLIN TOWNE ELEMENTARY,FRANKLIN TOWNE CHARTER ELEMENTARY SCHOOL,4259 RICHMOND ST,19137,(215) 289-3389,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.07472433931579 39.995515990391),15,151
175,3318,FREIRE CHARTER SCHOOL,FREIRE CHARTER SCHOOL,2027 CHESTNUT ST,19103,(215) 557-8555,HIGH SCHOOL,12-Sep,2,CHARTER,POINT (-75.17442258950319 39.9524728898904),9,93
176,3428,G.L.A. CHARTER @ HUEY,GLOBAL LEADERSHIP ACADEMY AT HUEY,5200 PINE ST,19143,(215) 471-2978,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.2268583300137 39.9533269095201),18,182
177,8100,GATEWAY TO COLLEGE,GATEWAY TO COLLEGE - COMMUNITY COLLEGE OF PHILADELPHIA,1700 SPRING GARDEN ST RM M1-24,19130,(215) 751-8540,HIGH SCHOOL,12-Sep,1,CONTRACTED,POINT (-75.1666280688128 39.9628357147828),9,91
178,3337,GLOBAL LEADERSHIP ACADEMY,GLOBAL LEADERSHIP ACADEMY CHARTER SCHOOL,4601 W GIRARD AVE,19131,(215) 477-6672,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.2155434065124 39.9733130527976),19,193
179,3365,GREEN WOODS CHARTER SCHOOL,GREEN WOODS CHARTER SCHOOL,468 DOMINO LN,19128,(215) 482-6337,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.2339965194264 40.0430940771111),5,52
180,3302,HARAMBEE INSTITUTE OF SCIENCE,HARAMBEE INSTITUTE OF SCIENCE AND TECHNOLOGY CHARTER SCHOOL,640 N 66TH ST,19151,(215) 472-8770,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.25226552117221 39.9732074349092),19,191
181,3323,MASTERY CHARTER AT HARDY WILLIAMS,MASTERY CHARTER SCHOOL AT HARDY WILLIAMS,5400 WARRINGTON AVE,19143,(215) 724-2343,ELEMENTARY/MIDDLE/HIGH,K-12,2,CHARTER,POINT (-75.2264469997381 39.9415620002347),12,124
182,3309,IMHOTEP CHARTER SCHOOL,IMHOTEP INSTITUTE CHARTER HIGH SCHOOL,6201 N 21ST ST,19138,(215) 438-4140,HIGH SCHOOL,12-Sep,2,CHARTER,POINT (-75.15471699959021 40.0494270004526),35,353
183,3341,INDEPENDENCE CHARTER SCHOOL,INDEPENDENCE CHARTER SCHOOL,1600 LOMBARD ST,19146,(215) 238-8000,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.1690056208506 39.9449388777306),17,171
184,3442,INDEPENDENCE CHARTER WEST,INDEPENDENCE CHARTER SCHOOL WEST,5600 CHESTER AVE,19143,(215) 724-5600,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.2253025145566 39.9371484739265),12,124
185,3308,INQUIRY CHARTER SCHOOL,INQUIRY CHARTER SCHOOL,1301 BELMONT AVE,19104,(215) 386-5768,ELEMENTARY SCHOOL,K-5,2,CHARTER,POINT (-75.2121763121233 39.9749947392129),16,162
186,3389,KEYSTONE ACADEMY CHARTER,KEYSTONE ACADEMY CHARTER SCHOOL,4521 LONGSHORE AVE,19135,(215) 332-2111,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.0440367105502 40.027482752961),15,153
187,3353,KIPP DUBOIS CHARTER SCHOOL,KIPP DUBOIS CHARTER SCHOOL,5070 PARKSIDE AVE,19131,(215) 307-3465,HIGH SCHOOL,12-Sep,2,CHARTER,POINT (-75.2212001734954 39.9798733132881),19,193
188,3370,KIPP PHILADELPHIA CHARTER,KIPP PHILADELPHIA CHARTER SCHOOL,3001 N 27TH ST,19132,(215) 227-1728,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.1742449535314 40.0014003550301),39,393
189,3443,KIPP WEST PHILA CHARTER SCHOOL,KIPP WEST PHILADELPHIA CHARTER SCHOOL,5070 PARKSIDE AVE,19131,(267) 787-5700,ELEMENTARY SCHOOL,K-4,2,CHARTER,POINT (-75.22121310854369 39.979591365288),19,193
190,2620,ACADEMY AT PALUMBO,ACADEMY AT PALUMBO,1100 CATHARINE ST,19147,(215) 400-8130,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.16172667066159 39.9400238507418),3,31
191,5200,"ADAIRE, ALEXANDER SCHOOL",ALEXANDER ADAIRE SCHOOL,1300 E PALMER ST,19125,(215) 400-7480,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1302790687679 39.9724860332449),26,263
192,4440,"ALLEN, DR. ETHEL SCHOOL",DR. ETHEL ALLEN SCHOOL,3200 W LEHIGH AVE,19132,(215) 400-7040,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.183604961272 39.997182351098),22,222
193,8200,"ALLEN, ETHAN SCHOOL",ETHAN ALLEN SCHOOL ,6329 BATTERSBY ST,19149,(215) 400-3270,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.0619167225252 40.029845387429),15,152
194,5430,AMY 5 AT JAMES MARTIN,ALTERNATIVE MIDDLE YEARS AT JAMES MARTIN ,3380 RICHMOND ST,19134,(215) 400-7190,MIDDLE SCHOOL,8-Jun,1,DISTRICT,POINT (-75.09728663616811 39.9853663057512),24,243
195,6480,AMY NORTHWEST,ACADEMY FOR THE MIDDLE YEARS AT NORTHWEST,6000 RIDGE AVE,19128,(215) 400-3460,MIDDLE SCHOOL,8-Jun,1,DISTRICT,POINT (-75.2127867392872 40.0310606321734),5,51
196,1460,"ANDERSON, ADD B. SCHOOL",ADD B. ANDERSON SCHOOL,1034 S 60TH ST,19143,(215) 400-7890,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.24571699986861 39.946726000326),18,181
197,2480,MARIAN ANDERSON NEIGHBORHOOD ACADEMY,MARIAN ANDERSON NEIGHBORHOOD ACADEMY,2000 CATHARINE ST,19146,(215) 400-7940,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.17589862561761 39.9418644651471),17,171
198,8230,"CROSSAN, KENNEDY C. SCHOOL",KENNEDY C. CROSSAN SCHOOL,7350 BINGHAM ST,19111,(215) 400-3160,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.0813314616159 40.0621902887023),2,23
199,6200,"DAY, ANNA B. SCHOOL",ANNA B. DAY SCHOOL,6324 CRITTENDEN ST,19138,(215) 400-3520,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1680865626186 40.0586302070348),14,141
200,5170,"DEBURGOS, J. ELEMENTARY",JULIA DE BURGOS SCHOOL,401 W LEHIGH AVE,19133,(215) 400-7080,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1386274300872 39.9927516402774),25,253
201,8420,"DECATUR, STEPHEN SCHOOL",STEPHEN DECATUR SCHOOL,3500 ACADEMY RD,19154,(215) 400-3050,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-74.97056956582411 40.0957320763664),8,83
202,4270,"DICK, WILLIAM SCHOOL",WILLIAM DICK SCHOOL,2498 W DIAMOND ST,19121,(215) 400-7340,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.17378700035211 39.9867299995588),22,222
203,8240,"DISSTON, HAMILTON SCHOOL",HAMILTON DISSTON SCHOOL,6801 COTTAGE ST,19135,(215) 400-3350,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.0467403313706 40.0283386186039),15,153
204,4060,"DOBBINS, MURRELL HIGH SCHOOL",MURRELL DOBBINS CAREER AND TECHNICAL HIGH SCHOOL,2150 W LEHIGH AVE,19132,(215) 400-7050,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1668959217613 39.9951425235826),22,221
205,6450,"DOBSON, JAMES SCHOOL",JAMES DOBSON SCHOOL,4667 UMBRIA ST,19127,(215) 400-3570,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.23054572018169 40.0314162762326),5,52
206,4460,"DUCKREY, TANNER SCHOOL",TANNER G. DUCKREY SCHOOL,1501 W DIAMOND ST,19121,(215) 400-7350,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1589535680948 39.9853056434017),22,221
207,5250,"DUNBAR, PAUL L. SCHOOL",PAUL L. DUNBAR SCHOOL,1750 N 12TH ST,19122,(215) 400-7410,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1541780919364 39.9792000131763),22,223
208,5020,"EDISON, THOMAS A. HIGH SCHOOL",THOMAS A. EDISON HIGH SCHOOL,151 W LUZERNE ST,19140,(215) 400-3900,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.12944249684691 40.0118545100119),25,252
209,6210,"EDMONDS, FRANKLIN S. SCHOOL",FRANKLIN S. EDMONDS SCHOOL,8025 THOURON AVE,19150,(215) 400-3370,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1709998691682 40.0729612572331),14,144
210,5260,"ELKIN, LEWIS SCHOOL",LEWIS ELKIN SCHOOL,3199 D ST,19134,(215) 400-7140,ELEMENTARY SCHOOL,K-4,1,DISTRICT,POINT (-75.1209123807794 39.9969928615849),24,242
211,7260,ELLWOOD SCHOOL,ELLWOOD SCHOOL,6701 N 13TH ST,19126,(215) 400-3540,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.1385380940791 40.0550249498537),35,351
