"Dispatch_Date","Crime_Group","Frequency"
"2024-01-31","Drug and Vice Crimes","10"
"2024-02-01","Property Crimes","219"
"2024-02-01","Violent Crimes","117"
"2024-02-01","Other Crimes","83"
"2024-02-01","Drug and Vice Crimes","19"
"2024-02-01","Public Order Crimes","4"
"2024-02-02","Property Crimes","208"
"2024-02-02","Violent Crimes","100"
"2024-02-02","Other Crimes","98"
"2024-02-02","Drug and Vice Crimes","17"
"2024-02-02","Public Order Crimes","1"
"2024-02-03","Property Crimes","231"
"2024-02-03","Violent Crimes","96"
"2024-02-03","Other Crimes","68"
"2024-02-03","Drug and Vice Crimes","9"
"2024-02-03","Public Order Crimes","4"
"2024-02-04","Property Crimes","202"
"2024-02-04","Violent Crimes","99"
"2024-02-04","Other Crimes","60"
"2024-02-04","Public Order Crimes","4"
"2024-02-04","Drug and Vice Crimes","3"
"2024-02-05","Property Crimes","227"
"2024-02-05","Violent Crimes","106"
"2024-02-05","Other Crimes","74"
"2024-02-05","Drug and Vice Crimes","9"
"2024-02-05","Public Order Crimes","4"
"2024-02-06","Property Crimes","245"
"2024-02-06","Other Crimes","112"
"2024-02-06","Violent Crimes","93"
"2024-02-06","Drug and Vice Crimes","15"
"2024-02-06","Public Order Crimes","1"
"2024-02-07","Property Crimes","240"
"2024-02-07","Violent Crimes","138"
"2024-02-07","Other Crimes","87"
"2024-02-07","Drug and Vice Crimes","23"
"2024-02-07","Public Order Crimes","6"
"2024-02-08","Property Crimes","208"
"2024-02-08","Violent Crimes","107"
"2024-02-08","Other Crimes","56"
"2024-02-08","Drug and Vice Crimes","17"
"2024-02-08","Public Order Crimes","5"
"2024-02-09","Property Crimes","206"
"2024-02-09","Violent Crimes","107"
"2024-02-09","Other Crimes","77"
"2024-02-09","Drug and Vice Crimes","10"
"2024-02-09","Public Order Crimes","1"
"2024-02-10","Property Crimes","204"
"2024-02-10","Violent Crimes","98"
"2024-02-10","Other Crimes","81"
"2024-02-10","Drug and Vice Crimes","11"
"2024-02-10","Public Order Crimes","5"
"2024-02-11","Property Crimes","200"
"2024-02-11","Violent Crimes","102"
"2024-02-11","Other Crimes","62"
"2024-02-11","Drug and Vice Crimes","5"
"2024-02-11","Public Order Crimes","4"
"2024-02-12","Property Crimes","261"
"2024-02-12","Violent Crimes","128"
"2024-02-12","Other Crimes","57"
"2024-02-12","Drug and Vice Crimes","12"
"2024-02-12","Public Order Crimes","6"
"2024-02-13","Property Crimes","222"
"2024-02-13","Violent Crimes","93"
"2024-02-13","Other Crimes","68"
"2024-02-13","Drug and Vice Crimes","12"
"2024-02-13","Public Order Crimes","2"
"2024-02-14","Property Crimes","200"
"2024-02-14","Violent Crimes","114"
"2024-02-14","Other Crimes","93"
"2024-02-14","Drug and Vice Crimes","24"
"2024-02-14","Public Order Crimes","3"
"2024-02-15","Property Crimes","209"
"2024-02-15","Violent Crimes","115"
"2024-02-15","Other Crimes","76"
"2024-02-15","Drug and Vice Crimes","11"
"2024-02-15","Public Order Crimes","1"
"2024-02-16","Property Crimes","210"
"2024-02-16","Violent Crimes","100"
"2024-02-16","Other Crimes","87"
"2024-02-16","Drug and Vice Crimes","17"
"2024-02-16","Public Order Crimes","6"
"2024-02-17","Property Crimes","183"
"2024-02-17","Violent Crimes","83"
"2024-02-17","Other Crimes","50"
"2024-02-17","Drug and Vice Crimes","7"
"2024-02-17","Public Order Crimes","6"
"2024-02-18","Property Crimes","194"
"2024-02-18","Violent Crimes","101"
"2024-02-18","Other Crimes","63"
"2024-02-18","Drug and Vice Crimes","8"
"2024-02-18","Public Order Crimes","4"
"2024-02-19","Property Crimes","228"
"2024-02-19","Violent Crimes","85"
"2024-02-19","Other Crimes","54"
"2024-02-19","Drug and Vice Crimes","14"
"2024-02-19","Public Order Crimes","3"
"2024-02-20","Property Crimes","221"
"2024-02-20","Violent Crimes","136"
"2024-02-20","Other Crimes","96"
"2024-02-20","Drug and Vice Crimes","15"
"2024-02-20","Public Order Crimes","2"
"2024-02-21","Property Crimes","207"
"2024-02-21","Violent Crimes","106"
"2024-02-21","Other Crimes","87"
"2024-02-21","Drug and Vice Crimes","16"
"2024-02-22","Property Crimes","194"
"2024-02-22","Other Crimes","96"
"2024-02-22","Violent Crimes","85"
"2024-02-22","Drug and Vice Crimes","13"
"2024-02-22","Public Order Crimes","5"
"2024-02-23","Property Crimes","191"
"2024-02-23","Violent Crimes","93"
"2024-02-23","Other Crimes","87"
"2024-02-23","Drug and Vice Crimes","22"
"2024-02-23","Public Order Crimes","7"
"2024-02-24","Property Crimes","198"
"2024-02-24","Violent Crimes","104"
"2024-02-24","Other Crimes","53"
"2024-02-24","Drug and Vice Crimes","8"
"2024-02-24","Public Order Crimes","5"
"2024-02-25","Property Crimes","167"
"2024-02-25","Violent Crimes","103"
"2024-02-25","Other Crimes","55"
"2024-02-25","Drug and Vice Crimes","6"
"2024-02-25","Public Order Crimes","5"
"2024-02-26","Property Crimes","234"
"2024-02-26","Violent Crimes","90"
"2024-02-26","Other Crimes","69"
"2024-02-26","Drug and Vice Crimes","9"
"2024-02-26","Public Order Crimes","3"
"2024-02-27","Property Crimes","211"
"2024-02-27","Violent Crimes","107"
"2024-02-27","Other Crimes","68"
"2024-02-27","Drug and Vice Crimes","15"
"2024-02-27","Public Order Crimes","7"
"2024-02-28","Property Crimes","194"
"2024-02-28","Violent Crimes","124"
"2024-02-28","Other Crimes","90"
"2024-02-28","Drug and Vice Crimes","16"
"2024-02-28","Public Order Crimes","4"
"2024-02-29","Property Crimes","220"
"2024-02-29","Violent Crimes","111"
"2024-02-29","Other Crimes","58"
"2024-02-29","Drug and Vice Crimes","18"
"2024-02-29","Public Order Crimes","2"
"2024-03-01","Property Crimes","178"
"2024-03-01","Other Crimes","87"
"2024-03-01","Violent Crimes","87"
"2024-03-01","Drug and Vice Crimes","16"
"2024-03-01","Public Order Crimes","3"
"2024-03-02","Property Crimes","153"
"2024-03-02","Violent Crimes","85"
"2024-03-02","Other Crimes","85"
"2024-03-02","Drug and Vice Crimes","8"
"2024-03-02","Public Order Crimes","6"
"2024-03-03","Property Crimes","204"
"2024-03-03","Violent Crimes","89"
"2024-03-03","Other Crimes","56"
"2024-03-03","Drug and Vice Crimes","11"
"2024-03-03","Public Order Crimes","2"
"2024-03-04","Property Crimes","219"
"2024-03-04","Violent Crimes","107"
"2024-03-04","Other Crimes","81"
"2024-03-04","Drug and Vice Crimes","12"
"2024-03-04","Public Order Crimes","3"
"2024-03-05","Property Crimes","211"
"2024-03-05","Violent Crimes","93"
"2024-03-05","Other Crimes","87"
"2024-03-05","Drug and Vice Crimes","19"
"2024-03-06","Property Crimes","196"
"2024-03-06","Violent Crimes","92"
"2024-03-06","Other Crimes","88"
"2024-03-06","Drug and Vice Crimes","16"
"2024-03-06","Public Order Crimes","5"
"2024-03-07","Property Crimes","233"
"2024-03-07","Violent Crimes","114"
"2024-03-07","Other Crimes","93"
"2024-03-07","Drug and Vice Crimes","17"
"2024-03-07","Public Order Crimes","1"
"2024-03-08","Property Crimes","208"
"2024-03-08","Violent Crimes","93"
"2024-03-08","Other Crimes","65"
"2024-03-08","Drug and Vice Crimes","21"
"2024-03-08","Public Order Crimes","6"
"2024-03-09","Property Crimes","170"
"2024-03-09","Violent Crimes","89"
"2024-03-09","Other Crimes","52"
"2024-03-09","Public Order Crimes","6"
"2024-03-09","Drug and Vice Crimes","4"
"2024-03-10","Property Crimes","193"
"2024-03-10","Violent Crimes","59"
"2024-03-10","Other Crimes","51"
"2024-03-10","Public Order Crimes","7"
"2024-03-10","Drug and Vice Crimes","5"
"2024-03-11","Property Crimes","243"
"2024-03-11","Violent Crimes","108"
"2024-03-11","Other Crimes","65"
"2024-03-11","Drug and Vice Crimes","13"
"2024-03-11","Public Order Crimes","1"
"2024-03-12","Property Crimes","188"
"2024-03-12","Violent Crimes","110"
"2024-03-12","Other Crimes","73"
"2024-03-12","Drug and Vice Crimes","23"
"2024-03-12","Public Order Crimes","2"
"2024-03-13","Property Crimes","201"
"2024-03-13","Violent Crimes","123"
"2024-03-13","Other Crimes","64"
"2024-03-13","Drug and Vice Crimes","12"
"2024-03-13","Public Order Crimes","2"
"2024-03-14","Property Crimes","223"
"2024-03-14","Violent Crimes","121"
"2024-03-14","Other Crimes","65"
"2024-03-14","Drug and Vice Crimes","19"
"2024-03-14","Public Order Crimes","2"
"2024-03-15","Property Crimes","216"
"2024-03-15","Violent Crimes","130"
"2024-03-15","Other Crimes","76"
"2024-03-15","Drug and Vice Crimes","13"
"2024-03-15","Public Order Crimes","3"
"2024-03-16","Property Crimes","212"
"2024-03-16","Violent Crimes","98"
"2024-03-16","Other Crimes","56"
"2024-03-16","Public Order Crimes","6"
"2024-03-16","Drug and Vice Crimes","6"
"2024-03-17","Property Crimes","192"
"2024-03-17","Violent Crimes","108"
"2024-03-17","Other Crimes","44"
"2024-03-17","Drug and Vice Crimes","12"
"2024-03-17","Public Order Crimes","5"
"2024-03-18","Property Crimes","267"
"2024-03-18","Violent Crimes","125"
"2024-03-18","Other Crimes","74"
"2024-03-18","Drug and Vice Crimes","14"
"2024-03-19","Property Crimes","225"
"2024-03-19","Violent Crimes","113"
"2024-03-19","Other Crimes","70"
"2024-03-19","Drug and Vice Crimes","16"
"2024-03-19","Public Order Crimes","4"
"2024-03-20","Property Crimes","242"
"2024-03-20","Violent Crimes","98"
"2024-03-20","Other Crimes","64"
"2024-03-20","Drug and Vice Crimes","13"
"2024-03-20","Public Order Crimes","3"
"2024-03-21","Property Crimes","204"
"2024-03-21","Violent Crimes","116"
"2024-03-21","Other Crimes","64"
"2024-03-21","Drug and Vice Crimes","13"
"2024-03-21","Public Order Crimes","7"
"2024-03-22","Property Crimes","226"
"2024-03-22","Violent Crimes","120"
"2024-03-22","Other Crimes","72"
"2024-03-22","Drug and Vice Crimes","9"
"2024-03-22","Public Order Crimes","4"
"2024-03-23","Property Crimes","169"
"2024-03-23","Violent Crimes","79"
"2024-03-23","Other Crimes","26"
"2024-03-23","Drug and Vice Crimes","6"
"2024-03-23","Public Order Crimes","4"
"2024-03-24","Property Crimes","204"
"2024-03-24","Violent Crimes","91"
"2024-03-24","Other Crimes","48"
"2024-03-24","Public Order Crimes","7"
"2024-03-24","Drug and Vice Crimes","3"
"2024-03-25","Property Crimes","261"
"2024-03-25","Violent Crimes","89"
"2024-03-25","Other Crimes","76"
"2024-03-25","Drug and Vice Crimes","5"
"2024-03-25","Public Order Crimes","1"
"2024-03-26","Property Crimes","222"
"2024-03-26","Violent Crimes","102"
"2024-03-26","Other Crimes","74"
"2024-03-26","Drug and Vice Crimes","6"
"2024-03-26","Public Order Crimes","4"
"2024-03-27","Property Crimes","242"
"2024-03-27","Violent Crimes","93"
"2024-03-27","Other Crimes","93"
"2024-03-27","Drug and Vice Crimes","14"
"2024-03-27","Public Order Crimes","4"
"2024-03-28","Property Crimes","226"
"2024-03-28","Violent Crimes","116"
"2024-03-28","Other Crimes","72"
"2024-03-28","Drug and Vice Crimes","13"
"2024-03-28","Public Order Crimes","3"
"2024-03-29","Property Crimes","227"
"2024-03-29","Violent Crimes","111"
"2024-03-29","Other Crimes","74"
"2024-03-29","Drug and Vice Crimes","7"
"2024-03-29","Public Order Crimes","4"
"2024-03-30","Property Crimes","197"
"2024-03-30","Violent Crimes","92"
"2024-03-30","Other Crimes","39"
"2024-03-30","Drug and Vice Crimes","8"
"2024-03-30","Public Order Crimes","4"
"2024-03-31","Property Crimes","210"
"2024-03-31","Violent Crimes","76"
"2024-03-31","Other Crimes","39"
"2024-03-31","Drug and Vice Crimes","10"
"2024-03-31","Public Order Crimes","5"
"2024-04-01","Property Crimes","216"
"2024-04-01","Violent Crimes","106"
"2024-04-01","Other Crimes","63"
"2024-04-01","Drug and Vice Crimes","16"
"2024-04-01","Public Order Crimes","4"
"2024-04-02","Property Crimes","186"
"2024-04-02","Violent Crimes","98"
"2024-04-02","Other Crimes","84"
"2024-04-02","Drug and Vice Crimes","17"
"2024-04-03","Property Crimes","218"
"2024-04-03","Violent Crimes","88"
"2024-04-03","Other Crimes","66"
"2024-04-03","Drug and Vice Crimes","9"
"2024-04-03","Public Order Crimes","3"
"2024-04-04","Property Crimes","179"
"2024-04-04","Violent Crimes","105"
"2024-04-04","Other Crimes","75"
"2024-04-04","Drug and Vice Crimes","16"
"2024-04-04","Public Order Crimes","4"
"2024-04-05","Property Crimes","211"
"2024-04-05","Violent Crimes","114"
"2024-04-05","Other Crimes","71"
"2024-04-05","Drug and Vice Crimes","11"
"2024-04-05","Public Order Crimes","3"
"2024-04-06","Property Crimes","217"
"2024-04-06","Violent Crimes","111"
"2024-04-06","Other Crimes","74"
"2024-04-06","Drug and Vice Crimes","10"
"2024-04-06","Public Order Crimes","3"
"2024-04-07","Property Crimes","176"
"2024-04-07","Violent Crimes","91"
"2024-04-07","Other Crimes","52"
"2024-04-07","Public Order Crimes","7"
"2024-04-07","Drug and Vice Crimes","2"
"2024-04-08","Property Crimes","257"
"2024-04-08","Violent Crimes","104"
"2024-04-08","Other Crimes","77"
"2024-04-08","Drug and Vice Crimes","8"
"2024-04-08","Public Order Crimes","4"
"2024-04-09","Property Crimes","244"
"2024-04-09","Violent Crimes","126"
"2024-04-09","Other Crimes","94"
"2024-04-09","Drug and Vice Crimes","13"
"2024-04-09","Public Order Crimes","6"
"2024-04-10","Property Crimes","259"
"2024-04-10","Violent Crimes","108"
"2024-04-10","Other Crimes","73"
"2024-04-10","Drug and Vice Crimes","23"
"2024-04-10","Public Order Crimes","3"
"2024-04-11","Property Crimes","220"
"2024-04-11","Violent Crimes","115"
"2024-04-11","Other Crimes","82"
"2024-04-11","Drug and Vice Crimes","18"
"2024-04-11","Public Order Crimes","3"
"2024-04-12","Property Crimes","241"
"2024-04-12","Violent Crimes","130"
"2024-04-12","Other Crimes","61"
"2024-04-12","Drug and Vice Crimes","14"
"2024-04-12","Public Order Crimes","4"
"2024-04-13","Property Crimes","217"
"2024-04-13","Violent Crimes","94"
"2024-04-13","Other Crimes","49"
"2024-04-13","Drug and Vice Crimes","11"
"2024-04-13","Public Order Crimes","9"
"2024-04-14","Property Crimes","239"
"2024-04-14","Violent Crimes","110"
"2024-04-14","Other Crimes","41"
"2024-04-14","Public Order Crimes","2"
"2024-04-14","Drug and Vice Crimes","2"
"2024-04-15","Property Crimes","281"
"2024-04-15","Violent Crimes","143"
"2024-04-15","Other Crimes","71"
"2024-04-15","Drug and Vice Crimes","10"
"2024-04-15","Public Order Crimes","5"
"2024-04-16","Property Crimes","285"
"2024-04-16","Violent Crimes","129"
"2024-04-16","Other Crimes","77"
"2024-04-16","Drug and Vice Crimes","15"
"2024-04-16","Public Order Crimes","5"
"2024-04-17","Property Crimes","263"
"2024-04-17","Violent Crimes","109"
"2024-04-17","Other Crimes","92"
"2024-04-17","Drug and Vice Crimes","13"
"2024-04-17","Public Order Crimes","2"
"2024-04-18","Property Crimes","231"
"2024-04-18","Violent Crimes","116"
"2024-04-18","Other Crimes","77"
"2024-04-18","Drug and Vice Crimes","13"
"2024-04-18","Public Order Crimes","2"
"2024-04-19","Property Crimes","263"
"2024-04-19","Violent Crimes","127"
"2024-04-19","Other Crimes","91"
"2024-04-19","Drug and Vice Crimes","14"
"2024-04-19","Public Order Crimes","5"
"2024-04-20","Property Crimes","227"
"2024-04-20","Violent Crimes","89"
"2024-04-20","Other Crimes","65"
"2024-04-20","Drug and Vice Crimes","14"
"2024-04-20","Public Order Crimes","7"
"2024-04-21","Property Crimes","233"
"2024-04-21","Violent Crimes","85"
"2024-04-21","Other Crimes","38"
"2024-04-21","Public Order Crimes","5"
"2024-04-21","Drug and Vice Crimes","3"
"2024-04-22","Property Crimes","269"
"2024-04-22","Violent Crimes","128"
"2024-04-22","Other Crimes","58"
"2024-04-22","Drug and Vice Crimes","16"
"2024-04-22","Public Order Crimes","4"
"2024-04-23","Property Crimes","215"
"2024-04-23","Violent Crimes","98"
"2024-04-23","Other Crimes","65"
"2024-04-23","Drug and Vice Crimes","13"
"2024-04-23","Public Order Crimes","5"
"2024-04-24","Property Crimes","280"
"2024-04-24","Violent Crimes","115"
"2024-04-24","Other Crimes","82"
"2024-04-24","Drug and Vice Crimes","19"
"2024-04-24","Public Order Crimes","3"
"2024-04-25","Property Crimes","260"
"2024-04-25","Violent Crimes","136"
"2024-04-25","Other Crimes","74"
"2024-04-25","Drug and Vice Crimes","17"
"2024-04-26","Property Crimes","257"
"2024-04-26","Violent Crimes","111"
"2024-04-26","Other Crimes","68"
"2024-04-26","Drug and Vice Crimes","9"
"2024-04-26","Public Order Crimes","1"
"2024-04-27","Property Crimes","210"
"2024-04-27","Violent Crimes","94"
"2024-04-27","Other Crimes","48"
"2024-04-27","Public Order Crimes","6"
"2024-04-27","Drug and Vice Crimes","5"
"2024-04-28","Property Crimes","184"
"2024-04-28","Violent Crimes","116"
"2024-04-28","Other Crimes","52"
"2024-04-28","Public Order Crimes","7"
"2024-04-28","Drug and Vice Crimes","1"
"2024-04-29","Property Crimes","242"
"2024-04-29","Violent Crimes","139"
"2024-04-29","Other Crimes","53"
"2024-04-29","Drug and Vice Crimes","7"
"2024-04-29","Public Order Crimes","3"
"2024-04-30","Property Crimes","249"
"2024-04-30","Violent Crimes","138"
"2024-04-30","Other Crimes","78"
"2024-04-30","Drug and Vice Crimes","19"
"2024-04-30","Public Order Crimes","7"
"2024-05-01","Property Crimes","236"
"2024-05-01","Violent Crimes","118"
"2024-05-01","Other Crimes","97"
"2024-05-01","Drug and Vice Crimes","19"
"2024-05-01","Public Order Crimes","1"
"2024-05-02","Property Crimes","205"
"2024-05-02","Violent Crimes","143"
"2024-05-02","Other Crimes","79"
"2024-05-02","Drug and Vice Crimes","20"
"2024-05-02","Public Order Crimes","3"
"2024-05-03","Property Crimes","220"
"2024-05-03","Violent Crimes","142"
"2024-05-03","Other Crimes","68"
"2024-05-03","Drug and Vice Crimes","11"
"2024-05-03","Public Order Crimes","2"
"2024-05-04","Property Crimes","201"
"2024-05-04","Violent Crimes","99"
"2024-05-04","Other Crimes","33"
"2024-05-04","Drug and Vice Crimes","13"
"2024-05-04","Public Order Crimes","6"
"2024-05-05","Property Crimes","183"
"2024-05-05","Violent Crimes","90"
"2024-05-05","Other Crimes","38"
"2024-05-05","Drug and Vice Crimes","5"
"2024-05-05","Public Order Crimes","4"
"2024-05-06","Property Crimes","259"
"2024-05-06","Violent Crimes","132"
"2024-05-06","Other Crimes","68"
"2024-05-06","Drug and Vice Crimes","14"
"2024-05-06","Public Order Crimes","8"
"2024-05-07","Property Crimes","274"
"2024-05-07","Violent Crimes","138"
"2024-05-07","Other Crimes","89"
"2024-05-07","Drug and Vice Crimes","12"
"2024-05-07","Public Order Crimes","3"
"2024-05-08","Property Crimes","249"
"2024-05-08","Violent Crimes","114"
"2024-05-08","Other Crimes","75"
"2024-05-08","Drug and Vice Crimes","10"
"2024-05-08","Public Order Crimes","2"
"2024-05-09","Property Crimes","262"
"2024-05-09","Violent Crimes","131"
"2024-05-09","Other Crimes","76"
"2024-05-09","Drug and Vice Crimes","19"
"2024-05-10","Property Crimes","221"
"2024-05-10","Violent Crimes","116"
"2024-05-10","Other Crimes","64"
"2024-05-10","Drug and Vice Crimes","7"
"2024-05-10","Public Order Crimes","1"
"2024-05-11","Property Crimes","198"
"2024-05-11","Violent Crimes","92"
"2024-05-11","Other Crimes","83"
"2024-05-11","Drug and Vice Crimes","17"
"2024-05-11","Public Order Crimes","5"
"2024-05-12","Property Crimes","233"
"2024-05-12","Violent Crimes","103"
"2024-05-12","Other Crimes","39"
"2024-05-12","Public Order Crimes","9"
"2024-05-13","Property Crimes","261"
"2024-05-13","Violent Crimes","114"
"2024-05-13","Other Crimes","73"
"2024-05-13","Drug and Vice Crimes","17"
"2024-05-14","Property Crimes","275"
"2024-05-14","Violent Crimes","120"
"2024-05-14","Other Crimes","101"
"2024-05-14","Drug and Vice Crimes","16"
"2024-05-14","Public Order Crimes","3"
"2024-05-15","Property Crimes","263"
"2024-05-15","Violent Crimes","125"
"2024-05-15","Other Crimes","108"
"2024-05-15","Drug and Vice Crimes","15"
"2024-05-15","Public Order Crimes","3"
"2024-05-16","Property Crimes","269"
"2024-05-16","Violent Crimes","133"
"2024-05-16","Other Crimes","114"
"2024-05-16","Drug and Vice Crimes","8"
"2024-05-16","Public Order Crimes","3"
"2024-05-17","Property Crimes","262"
"2024-05-17","Violent Crimes","118"
"2024-05-17","Other Crimes","65"
"2024-05-17","Drug and Vice Crimes","12"
"2024-05-17","Public Order Crimes","12"
"2024-05-18","Property Crimes","244"
"2024-05-18","Violent Crimes","101"
"2024-05-18","Other Crimes","36"
"2024-05-18","Drug and Vice Crimes","13"
"2024-05-18","Public Order Crimes","5"
"2024-05-19","Property Crimes","207"
"2024-05-19","Violent Crimes","106"
"2024-05-19","Other Crimes","47"
"2024-05-19","Drug and Vice Crimes","4"
"2024-05-19","Public Order Crimes","1"
"2024-05-20","Property Crimes","303"
"2024-05-20","Violent Crimes","125"
"2024-05-20","Other Crimes","64"
"2024-05-20","Drug and Vice Crimes","5"
"2024-05-20","Public Order Crimes","1"
"2024-05-21","Property Crimes","294"
"2024-05-21","Violent Crimes","133"
"2024-05-21","Other Crimes","104"
"2024-05-21","Drug and Vice Crimes","17"
"2024-05-21","Public Order Crimes","4"
"2024-05-22","Property Crimes","327"
"2024-05-22","Violent Crimes","124"
"2024-05-22","Other Crimes","87"
"2024-05-22","Drug and Vice Crimes","10"
"2024-05-22","Public Order Crimes","2"
"2024-05-23","Property Crimes","265"
"2024-05-23","Violent Crimes","127"
"2024-05-23","Other Crimes","80"
"2024-05-23","Drug and Vice Crimes","12"
