X,Y,OBJECTID,ASSET_ADDR,ASSET_NAME,OPA_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_ASSETID,ASSET_ID,SHAREBLDG_NOTE,ASSET_GROUP1,ASSET_GROUP2,ASSET_TYPE,ASSET_SUBTYPE1,ASSET_SUBTYPE2,BUILDINGID,SECONDARYSITE_ID,PRIMARYSITE_ID,ASSET_SUBT1_DESC,CITYOWNED,CITYUSE_DESC,OCCUPANT,MAINTAINEDBY,OPA_ID,OPA_OWNER,SITE_ACRES,SERVING_TYPE,EDITNOTE1,EDITDATE,EDITSOURCE,EDITOR,NOT_PUBLIC,STATUS
-75.21453686,39.99174781,16,2076 BELMONT MANSION DR,Belmont Grove,,Belmont Grove,,,3630,,,,,,,,,,,Y,,PPR,PPR,,,11.761487,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.21353052,39.99144661,17,2032 BELMONT MANSION DR,Belmont Mansion Shed,,Belmont Mansion Grounds,,,3763,,,,,,,,,,,Y,,PPR,PPR,,,1.884766,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.21363802,39.99087994,18,2032 BELMONT MANSION DR,Belmont Cottage and Reception Hall,,Belmont Mansion Grounds,,,3629,,,,,,,,,,,Y,,PPR,PPR,,,1.884766,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.21327901,39.99116206,19,2032 BELMONT MANSION DR,Belmont Mansion Grounds,,Belmont Mansion Grounds,,,3631,,,,,,,,,,,Y,,PPR,PPR,,,1.884766,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.20357762,39.98999134,20,2000 MARTIN LUTHER KING DR,Belmont Yard Pumping Station,,Belmont Yard Pumping Station,,,1498,,,,,,,,,,,Y,,PPR,PPR,,,0.003099,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.1758711,39.96206913,21,BENJAMIN FRANKLIN PKWY,Benjamin Franklin Parkway Medians,,Benjamin Franklin Parkway,,,3464,,,,,,,,,,,Y,,PPR,PPR,,,13.931208,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.14792463,39.95117378,22,107 N INDEPENDENCE MALL E,Ben-Gurion Place,,Ben-Gurion Place,,,3764,,,,,,,,,,,Y,,PPR,PPR,,,0.387166,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.07655795,40.01384332,23,1900 WAKELING ST,Billy Gambrel Playground Announcers Booth,,Billy Gambrel Playground,,,3529,,,,,,,,,,,Y,,PPR,PPR,,,11.544799,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.14461019,39.952384,24,239 ARCH ST,Betsy Ross House and Museum Building,,Betsy Ross House,,,3482,,,,,,,,,,,Y,,PPR,PPR,,,0.236189,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.07573024,40.01399412,25,1900 WAKELING ST,Billy Gambrel Playground Shed 1,,Billy Gambrel Playground,,,3529,,,,,,,,,,,Y,,PPR,PPR,,,11.544799,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.07564002,40.0137629,26,1900 WAKELING ST,Billy Gambrel Playground Shed 2,,Billy Gambrel Playground,,,3530,,,,,,,,,,,Y,,PPR,PPR,,,11.544799,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.18763968,39.96957379,27,870 KELLY DR,Boathouse Row,,Boathouse Row,,,3765,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.17712646,39.96276043,28,2200 BENJ FRANKLIN PKY,Binswanger Triangle,,Binswanger Triangle,,,3491,,,,,,,,,,,Y,,PPR,PPR,,,0.230762,,,,,,,
-75.18905155,39.96964141,29,900 KELLY DR,Undine Boat Shed,,Boathouse Row,,,3604,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.18673898,39.96932884,30,858 KELLY DR,Bachelors Boat Cover 3,,Boathouse Row,,,3605,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.18618864,39.9692576,31,830 KELLY DR,Fairmount Boat Shed 1,,Boathouse Row,,,3606,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.18612079,39.96924293,32,830 KELLY DR,Fairmount Boat Shed 2,,Boathouse Row,,,3607,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.18580382,39.96913791,33,830 KELLY DR,Fairmount Boat Shed 3,,Boathouse Row,,,3608,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.18568897,39.96908676,34,820 KELLY DR,Wheel Fun Shed,,Boathouse Row,,,3609,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.1856478,39.96915354,35,820 KELLY DR,Wheel Fun Storage Shed 1,,Boathouse Row,,,3610,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.18567371,39.96915821,36,820 KELLY DR,Wheel Fun Storage Shed 2,,Boathouse Row,,,3611,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.18560523,39.96927153,37,820 KELLY DR,Wheel Fun Rental Office,,Boathouse Row,,,3612,,,,,,,,,,,,,PPR,PPR,,,5.645147,,,,,,,
-75.06795541,39.99925972,38,4649 RICHMOND ST,Bridesburg Pool Building,,Bridesburg Pool Building,,,3766,,,,,,,,,,,Y,,PPR,PPR,,,7.982771,,,,,,,
-75.09520686,40.01089397,39,1632 E BRISTOL ST,Bristol Street Tract,,Bristol Street Tract,,,3601,,,,,,,,,,,Y,,PPR,PPR,,,1.972359,,,,,,,
-75.17957896,39.97672797,40,1341 N 27TH ST,Brewerytown Garden,,Brewerytown Garden,,,3767,,,,,,,,,,,,,PUBLIC USE,PPR,,,0.476755,,,,,,,
-75.15025697,39.92124396,41,200 SNYDER AVE,Burke Playground Storage Building,,Burke Playground,,,202,,,,,,,,,,,Y,,PPR,PPR,,,1.711827,,,,,,,
-75.10311432,39.9862227,42,2525 E ALLEGHENY AVE,Campbell Square Building,,Campbell Square,,,3577,,,,,,,,,,,Y,,PPR,PPR,,,2.613638,,,,,,,
-75.20826722,39.98958531,43,4221 MONTGOMERY DR,Car Barn Compound,,Car Barn Compound,,,3768,,,,,,,,,,,Y,,PPR,PPR,,,5.634855,,,,,,,
-75.2134642,39.97959128,44,1601 BELMONT AVE,Carousel House Recreation Center Shed,,Carousel House Recreation Center,,,3769,,,,,,,,,,,Y,,PPR,PPR,,,5.244246,,,,,,,
-75.23698673,39.97099335,45,5801 W GIRARD AVE,Carroll Park Building,,Carroll Park Building,,,3555,,,,,,,,,,,Y,,PPR,PPR,,,5.636206,,,,,,,
-75.23103894,39.97729706,46,5433 LANSDOWNE AVE,Charles A. Baker Playground Pool Building,,Charles A. Baker Playground Pool Building,,,3592,,,,,,,,,,,Y,,PPR,PPR,,,0.759114,,,,,,,
-75.23110047,39.97715081,47,5433 LANSDOWNE AVE,Charles A. Baker Playground Shelter,,Charles A. Baker Playground Shelter,,,3504,,,,,,,,,,,Y,,PPR,PPR,,,0.759114,,,,,,,
-75.25601806,39.97583639,48,906 N 68TH ST,Royal Gardens,,Charles A. Papa Playground,,,3770,,,,,,,,,,,,,PPR,PPR,,,,,,,,,,
-75.21056294,39.94730566,49,1155 S 45TH ST,Clarence H Clark Park Restrooms,,Clarence H Clark Park,,,3771,,,,,,,,,,,Y,,PPR,PPR,,,12.034016,,,,,,,
-75.1745621,39.93797703,50,1800 WASHINGTON AVE,"Charles H. Chew, Sr. Playground Garden",,"Charles H. Chew, Sr. Playground",,,3772,,,,,,,,,,,Y,,PPR,PPR,,,2.798554,,,,,,,
-75.24805393,39.96121424,51,104 COBBS CREEK PKWY,Cobbs Cinder Block Ruins,,Cobbs Cinder Block Ruins,,,3616,,,,,,,,,,,Y,,PPR,PPR,,,729.252539,,,,,,,
-75.24786927,39.96111101,52,104 COBBS CREEK PKWY,Cobbs Stone Quay with Fire Pit,,Cobbs Stone Quay with Fire Pit,,,3617,,,,,,,,,,,Y,,PPR,PPR,,,729.252539,,,,,,,
-75.24932663,39.96256467,53,6410 MARKET ST,Cobbs Creek Park Community Garden,,Cobbs Creek Park Community Garden,,,3773,,,,,,,,,,,Y,,PPR,PPR,,,729.252539,,,,,,,
-75.16441037,39.9327431,54,1200 WHARTON ST,Columbus Square Restrooms,,Columbus Square Restrooms,,,3564,,,,,,,,,,,Y,,PPR,PPR,,,4.111533,,,,,,,
-75.17933307,39.91638706,55,1800 JOHNSTON ST,Commodore John Barry Playground Dugout 4,,Commodore John Barry Playground,,,3570,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-75.17950718,39.91628786,56,1800 JOHNSTON ST,Commodore John Barry Playground Dugout 3,,Commodore John Barry Playground,,,3569,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-75.17871947,39.91550426,57,1800 JOHNSTON ST,Commodore John Barry Playground Pool Building,,Commodore John Barry Playground Pool Building,,,3571,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-75.17895122,39.91566591,58,1800 JOHNSTON ST,Commodore John Barry Concessions Building 1,,Commodore John Barry Concessions Building 1,,,3565,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-75.17902366,39.91541035,59,1800 JOHNSTON ST,Commodore John Barry Playground Dugout 1,,Commodore John Barry Playground Dugout 1,,,3566,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-75.17922611,39.91529969,60,1800 JOHNSTON ST,Commodore John Barry Playground Dugout 2,,Commodore John Barry Playground Dugout 2,,,3567,,,,,,,,,,,Y,,PPR,PPR,,,4.012548,,,,,,,
-74.99288737,40.05354936,61,4763 CONVENT LN,Convent Lane Residence Shed,,Convent Lane Residence Shed,,,3619,,,,,,,,,,,Y,,PPR,PPR,,,62.768643,,,,,,,
-75.16650774,39.95542902,62,110 N 16TH ST,Cafe Cret,,Cret Park,,,3614,,,,,,,,,,,Y,,PPR,PPR,,,1.121917,,,,,,,
-75.13114953,39.97181555,63,1301 E COLUMBIA AVE,Dave Dougherty Field Restrooms,,Dave Dougherty Field Restrooms,,,3774,,,,,,,,,,,Y,,PPR,PPR,,,2.463572,,,,,,,
-75.14642008,39.95096607,64,25 N 04TH ST,Commerce Street Walk,,Commerce Street Walk,,,3775,,,,,,,,,,,Y,,PPR,PPR,,,0.37266,,,,,,,
-75.13045035,39.97220027,65,1301 E COLUMBIA AVE,Dave Dougherty Field Shed,,Dave Dougherty Field Shed,,,3581,,,,,,,,,,,Y,,PPR,PPR,,,2.463572,,,,,,,
-75.19041312,39.99613808,66,3101 STRAWBERRY MANSION DR,Dell Music Center Pavilion 2,,Dell Music Center,,,3776,,,,,,,,,,,,,PUBLIC USE,PPR,,,8.541338,,,,,,,
-75.19294388,39.98271987,67,3369 RESERVOIR DR,Discovery Center Building,,Discovery Center at East Fairmount Reservoir,,,3777,,,,,,,,,,,,,PUBLIC USE,PPR,,,50.389696,,,,,,,
-75.18892297,39.99627586,68,3101 STRAWBERRY MANSION DR,Georgie Woods Pavilion,,Dell Music Center,,,3519,,,,,,,,,,,,,PPR,PPR,,,8.541338,,,,,,,
-75.19310171,39.98264763,69,3369 RESERVOIR DR,Discovery Center Grounds,,Discovery Center at East Fairmount Reservoir,,,3778,,,,,,,,,,,,,PPR,PPR,,,50.389696,,,,,,,
-75.19413621,39.98302863,70,3369 RESERVOIR DR,Discovery Center Observation Towers,,Discovery Center at East Fairmount Reservoir,,,3779,,,,,,,,,,,,,PPR,PPR,,,50.389696,,,,,,,
-75.04525189,40.02096951,71,6641 KEYSTONE ST,Disston Park Garden,,Disston Park Garden,,,3780,,,,,,,,,,,Y,,PPR,PPR,,,23.500047,,,,,,,
-74.98885309,40.08067125,72,3325 RED LION RD,Elizabeth M. Picariello Playground Shed 3,,Elizabeth M. Picariello Playground Shed 3,,,3542,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.98969188,40.08048149,73,3325 RED LION RD,Elizabeth M. Picariello Playgd Dugout North 2,,Elizabeth M. Picariello Playgd Dugout North 2,,,3541,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-75.16013512,39.93433788,74,998 FEDERAL ST,Dr. Nicola Capitolo Playground Community Garden,,Dr. Nicola Capitolo Playground Community Garden,,,3781,,,,,,,,,,,Y,,PPR,PPR,,,4.091991,,,,,,,
-74.98979287,40.08061647,75,3325 RED LION RD,Elizabeth M. Picariello Playground Shed 2,,Elizabeth M. Picariello Playground Shed 2,,,3539,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.98996305,40.08049447,76,3325 RED LION RD,Elizabeth M. Picariello Playground Dugout North 1,,Elizabeth M. Picariello Playground Dugout North 1,,,3540,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.9912607,40.07921319,77,3325 RED LION RD,Elizabeth M. Picariello Playground Concession Stand,,Elizabeth M. Picariello Playground Concession Stand,,,3538,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.99105247,40.07905855,78,3325 RED LION RD,Elizabeth M. Picariello Playground Shed 1,,Elizabeth M. Picariello Playground Shed 1,,,3537,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.99099724,40.07904411,79,3325 RED LION RD,Elizabeth M. Picariello Playground Announcer Booth,,Elizabeth M. Picariello Playground Announcer Booth,,,3536,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.98988287,40.07915588,80,3325 RED LION RD,Elizabeth M. Picariello Playground Dugout South 1,,Elizabeth M. Picariello Playground Dugout South 1,,,3543,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-74.9901411,40.07917164,81,3325 RED LION RD,Elizabeth M. Picariello Playground Dugout South 2,,Elizabeth M. Picariello Playground Dugout South 2,,,3544,,,,,,,,,,,,,PPR,PPR,,,9.437193,,,,,,,
-75.13893462,39.99137753,82,2649 N LAWRENCE ST,Fairhill Square Shelter,,Fairhill Square Shelter,,,3642,,,,,,,,,,,,,PPR,PPR,,,2.28,,,,,,,
-75.17611457,39.90410294,83,1450 FDR PARK DR,FDR Park Picnic Shelter,,FDR Park Picnic Shelter,,,3782,,,,,,,,,,,,,PPR,PPR,,,348.582655,,,,,,,
-75.20222115,40.00490582,84,3689 FALLS RD,Falls Road House,,Falls Road House,,,3783,,,,,,,,,,,,,PPR,PPR,,,1.76564,,,,,,,
-74.99324249,40.04337851,85,9201 N DELAWARE AVE,Fish Hatchery Boardwalk Building 1,,Fish Hatchery at Pleasant Hill Park,,,3640,,,,,,,,,,,,,PPR,PPR,,,35.151141,,,,,,,
-74.99313497,40.04320064,86,9201 N DELAWARE AVE,Fish Hatchery Boardwalk Building 2,,Fish Hatchery at Pleasant Hill Park,,,3639,,,,,,,,,,,,,PPR,PPR,,,35.151141,,,,,,,
-74.99329037,40.04167281,87,9201 N DELAWARE AVE,Fish Hatchery Restrooms,,Fish Hatchery at Pleasant Hill Park,,,3638,,,,,,,,,,,,,PPR,PPR,,,35.151141,,,,,,,
-74.99513709,40.04098042,88,9201 N DELAWARE AVE,Fish Hatchery Maintenance Building 1,,Fish Hatchery at Pleasant Hill Park,,,3636,,,,,,,,,,,,,PPR,PPR,,,35.151141,,,,,,,
-74.99470026,40.04043293,89,9201 N DELAWARE AVE,Fish Hatchery Maintenance Building 2,,Fish Hatchery at Pleasant Hill Park,,,3635,,,,,,,,,,,,,PPR,PPR,,,35.151141,,,,,,,
-75.13177951,40.04415796,90,648 W SPENCER AVE,Fisher Park Roots Garden,,Fisher Park Roots Garden,,,3784,,,,,,,,,,,,,CITY OF PHILA,PPR,,,24.498365,,,,,,,
-74.99343161,40.04061769,91,9201 N DELAWARE AVE,Former Torresdale Fish Hatchery Building,,Fish Hatchery at Pleasant Hill Park,,,3637,,,,,,,,,,,,,CITY OF PHILA,PPR,,,35.151141,,,,,,,
-75.08078267,40.07390324,92,700 RHAWN ST,Fox Chase School Playground,,Fox Chase School Playground,,,3785,,,,,,,,,,,,,CITY OF PHILA,PPR,,,16.369228,,,,,,,
-75.02716821,40.06056977,93,2933 WELSH RD,Frank McArdle Memorial Recreation Center Shed,,Frank McArdle Memorial Recreation Center Shed,,,3786,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.17979976,39.94771367,94,2301 PINE ST,Fitler Square Building,,Fitler Square Building,,,3787,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.05685389,40.00697878,95,5625 TACONY ST,Frankford Boat Launch Building,,Frankford Boat Launch Building,,,3506,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.15030297,39.9559345,96,200 N 06TH ST,Franklin Square Mini Golf Building 2,,Franklin Square Mini Golf Building 2,,,53,,,,,,,,,,,,,CITY OF PHILA,PPR,,,7.164952,,,,,,,
-75.15014202,39.95569058,97,200 N 06TH ST,SquareBurger,,SquareBurger,,,3552,,,,,,,,,,,,,CITY OF PHILA,PPR,,,7.164952,,,,,,,
-75.1504524,39.95594393,98,200 N 06TH ST,Franklin Square Mini Golf Building 1,,Franklin Square Mini Golf Building 1,,,3548,,,,,,,,,,,,,CITY OF PHILA,PPR,,,7.164952,,,,,,,
-75.11852939,39.9796152,99,2600 ARAMINGO AVE,Frederick Cione Playground Pool Building,,Frederick Cione Playground Pool Building,,,3561,,,,,,,,,,,,,CITY OF PHILA,PPR,,,4.752239,,,,,,,
-75.21682425,39.95323622,100,4710 SPRUCE ST,Garden Court Community Garden,,Garden Court Community Garden,,,3788,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.585174,,,,,,,
-75.05084134,40.06160317,101,2138 SOLLY AVE,George C. Pelbano Playground Shed,,George C. Pelbano Playground Shed,,,3532,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.0023701,40.05235054,102,4500 LINDEN AVE,George Jacobs Playground Building 2,,George Jacobs Playground Building 2,,,3789,,,,,,,,,,,,,CITY OF PHILA,PPR,,,14.689304,,,,,,,
-75.19124896,39.97643234,103,1299 BREWERY HILL DR,Glendinning Rock Garden,,Glendinning Rock Garden,,,3585,,,,,,,,,,,,,CITY OF PHILA,PPR,,,2.630021,,,,,,,
-75.20124542,39.99481764,104,3850 FORD RD,Recycling Center,,Recycling Center,,,3628,,,,,,,,,,,,,CITY OF PHILA,PPR,,,14.105384,,,,,,,
-75.20029063,39.99460137,105,3850 FORD RD,Recycling Center,,Recycling Center Water Shed,,,1509,,,,,,,,,,,,,CITY OF PHILA,PPR,,,14.105384,,,,,,,
-75.23465227,39.9669168,106,5700 HAVERFORD AVE,Haddington-Marshall Shepard Rec Ctr Picnic Shelter,,Haddington-Marshall Shepard Rec Ctr Picnic Shelter,,,3603,,,,,,,,,,,,,CITY OF PHILA,PPR,,,8.214579,,,,,,,
-75.20141486,40.02403018,107,799 HERMIT LN,Hermit Cave,,Wissahickon Valley Park,,,3517,,,,,,,,,,,,,CITY OF PHILA,PPR,,,2084.101831,,,,,,,
-75.02161688,40.05708585,108,3065 HOLME AVE,Holme Crispin Cemetery,,Holme Crispin,,,3665,,,,,,,,,,,,,CITY OF PHILA,PPR,,,31.501517,,,,,,,
-75.15107425,39.95613356,109,200 N 06TH ST,Pavillion in Franklin Square,,Pavillion in Franklin Square,,,3550,,,,,,,,,,,,,CITY OF PHILA,PPR,,,7.164952,,,,,,,
-75.1463162,40.01808378,110,1101 W HUNTING PARK AVE,Hunting Park Community Garden,,Hunting Park Community Garden,,,3790,,,,,,,,,,,,,CITY OF PHILA,PPR,,,76.467221,,,,,,,
-75.18317559,39.94596365,111,577 S TANEY ST,James O'Connor Memorial Pool Building 1,,James O'Connor Memorial Pool Building 1,,,3593,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.373648,,,,,,,
-75.15064424,39.98913905,112,2400 N 11TH ST,James Young Memorial Playground,,Stephen E. Fotteral Square Storage Building,,,3558,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.476144,,,,,,,
-75.18351131,39.94598904,113,577 S TANEY ST,James O'Connor Memorial Pool Building 2,,James O'Connor Memorial Pool Building 2,,,3594,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.373648,,,,,,,
-74.96993949,40.10278808,114,3102 MECHANICSVILLE RD,Jim Junod Recreation Center Building Pergola,,Jim Junod Recreation Center Building Pergola,,,3524,,,,,,,,,,,,,CITY OF PHILA,PPR,,,23.515986,,,,,,,
-75.21118159,39.96177428,115,4372 HAVERFORD AVE,John A. Lee Recreation Center Garden,,John A. Lee Recreation Center Garden,,,1892,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.017679,,,,,,,
-75.23317817,39.99502601,116,5323 OVERBROOK AVE,John C. Anderson Cultural Center,,John C. Anderson Cultural Center,,,3479,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.133316,,,,,,,
-74.98652333,40.05644079,117,4800 GRANT AVE,Joseph C. Fluehr Memorial Park,,Joseph C. Fluehr Memorial Park,,,188,,,,,,,,,,,,,CITY OF PHILA,PPR,,,62.768643,,,,,,,
-75.104728,40.01480621,118,1101 E CAYUGA ST,Joseph A. Ferko Playground,,Joseph A. Ferko Playground Shelter,,,3533,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.10467459,40.00384764,119,1231 E SEDGLEY AVE,Juniata Park Older Adult Center Maintenance Bldg,,Juniata Park Older Adult Center Maintenance Bldg,,,3580,,,,,,,,,,,,,CITY OF PHILA,PPR,,,0.005827,,,,,,,
-75.04641091,40.01457185,120,5202 LEVICK ST,Lardner's Point Park Restrooms,,Lardner's Point Park Restrooms,,,3560,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.19472202,39.99157182,121,3487 EDGLEY DR,Laurel Hill Mansion Grounds,,Laurel Hill Mansion Pavilion,,,3828,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.24786195,39.96000129,122,200 S 63RD ST,Laura Sims Skate House,,Laura Sims Skate House,,,3457,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.19503292,39.99129918,123,3487 EDGLEY DR,Laurel Hill Mansion Grounds,,Laurel Hill Mansion Grounds,,,3827,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.10034497,40.04689176,124,414 LARDNER ST,Lawncrest Recreation Center Building 3,,Lawncrest Recreation Center Building 3,,,1084,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.18724154,39.97098105,125,801 LEMON HILL DR,Lemon Hill Mansion Grounds,,Lemon Hill Mansion Grounds,,,3826,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.0398653,40.04221992,126,7437 ROWLAND AVE,Lincoln Pool,,Lincoln Pool,,,3471,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.12742272,39.97220419,127,618 MOYER ST,Lederer Pool Building,,Lederer Pool Building,,,3596,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.16916529,39.95792139,128,200 N 18TH ST,Sister Cities Park Building,,Sister Cities Park Building,,,3825,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.16102345,40.02567113,129,4650 GERMANTOWN AVE,Loudoun Mansion Grounds,,Loudoun Mansion Grounds,,,3824,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.22520206,39.95253848,130,5100 PINE ST,Malcolm X Memorial Park Maintenance Building,,Malcolm X Memorial Park Maintenance Building,,,3554,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
-75.15680953,39.93234072,131,732 SEARS ST,"Louis P. Paolone, Sr. Park Garden",,"Louis P. Paolone, Sr. Park Garden",,,3823,,,,,,,,,,,,,CITY OF PHILA,PPR,,,,,,,,,,
